Japanese,Japanese_English,English,Kanji
にんげん,ningen,Human,人間
じんるい,jinrui,Humanity,人類
ひと,hito,people,人
おとこ,otoko,man,男
おとこのひと,otokonohito,Man,男の人
おとこのこ,otokonoko,Boy,男の子
おんな,onna,Woman,女
おんなのひと,onnanohito,Woman,女の人
おんなのこ,onnanoko,Girl,女の子
あかちゃん,akachan,baby,赤ちゃん
わかもの,wakamono,Young people,若者
わたし,watashi,I,私
わたくし,watakushi,I(formal),私
ぼく,boku,I(males),僕
おれ,ore,I(males[informal],俺
あたし,atashi,I (used by females),私
しょうじょ,shoujo,Girl,少女
しょうねん,shounen,Boy,少年
いしゃ,isha,doctor,医者
かんごし,kangoshi,Nurse,看護師
かんごふ,kangofu,Female Nurse ,看護婦
しかい,shikai,Dentist,歯科医
はいしゃ,ha-isha,Dentist,歯医者
せいじか,seijika,Politician,政治家
べんごし,bengoshi,lawyer,弁護士
しょうぼうし,shouboushi,Firefighter,消防士
けいさつかん,keisatsukan,Police officer,警察官
へいし,heishi,soldier,兵士
けんちくか,kenchikuka,Architect,建築家
せんせい,sensei,teacher,先生
きょうし,kyoushi,Teacher,教師
かしゅ,kashu,Singer,歌手
エンジニア,enjinia,engineer,足
あし,ashi,legs,足、脚
かかと,kakato,heel,踵
すね,sune,Shin,脛
ひざ,hiza,knee,膝
もも,momo,Thigh,腿
あたま,atama,head,頭
かお,kao,face,顔
くち,kuchi,mouth,口
くちびる,kuchibiru,Lips,唇
は,ha,teeth,歯
はな,hana,nose,鼻
め,me,eye,目
ひげ,hige,beard,髭、鬚、髯
かみ,kami,Hair ,髪
みみ,mimi,Ear,耳
おなか,onaka,stomach,御腹
うで,ude,Arm,腕
ひじ,hiji,elbow,肘
かた,kata,shoulder,肩
つめ,tsume,nail,爪
て,te,hand,手
てくび,tekubi,wrist,手首
てのひら,te-no-hira,palm,掌、手の平
ゆび,yubi,Finger,指
しり,shiri,Butt,尻
おなか,o-naka,stomach,お腹、腹
はら,hara,Hara,肝臓
かんぞう,kanzou,liver,肝
きも,kimo,Liver,筋肉
きんにく,kin'niku,Muscle,首
くび,kubi,neck,心
こころ,kokoro,heart(feelings),
こし,koshi,waist,腰
しんぞう,shinzou,heart,心臓
せなか,senaka,back,背中
ち,chi,Blood,血
にく,niku,Meat,肉
はだ,hada,Skin,肌、膚
ひふ,hifu,Skin,皮膚
ほね,hone,bone,骨
むね,mune,Chest,胸
かぜ,kaze,cold,風邪
げり,geri,Geri,下痢
びょうき,byouki,sickness,病気
かぞく,kazoku,family,家族
りょうしん,ryoushin,Parents,両親
こども,kodomo,child,子供
ちち,chichi (otou-san),Father,父
はは,haha (okaa-san),mother,母
つま,tsuma,wife,妻
おっと,otto,Husband ,夫
あに,ani (onī-san),Brother,兄
あね,ane (onē-san),Older sister,姉
おとうと,otouto,younger brother,弟
いもうと,imouto,younger sister,妹
きょうだい,kyoudai,siblings,兄弟
しまい,shimai,sisters,姉妹
そふ,sofu (ojiisan),Grandpa,祖父
そぼ,sobo (obaasan),Grandma ,祖母
まご,mago,Grandson,孫
おじ,oji (oji-san),Uncle,伯父、叔父
おば,oba (oba-san),Aunt,伯母、叔母
いとこ,itoko,cousin,従兄弟、従姉妹、従兄、従弟、従姉、従妹
めい,mei,niece,姪
おい,oi,Hey,甥
